Flat(id=228778408, fullUrl=https://www.cian.ru/rent/flat/228778408/, totalArea=18.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.618857, lng=37.411131)), bargainTerms=Flat.BargainTerms(price=28000, agentFee=50))
Flat(id=228458063, fullUrl=https://www.cian.ru/rent/flat/228458063/, totalArea=17.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.640431, lng=37.358166)), bargainTerms=Flat.BargainTerms(price=28000, agentFee=0))
Flat(id=228621213, fullUrl=https://www.cian.ru/rent/flat/228621213/, totalArea=17.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.638785, lng=37.355363)), bargainTerms=Flat.BargainTerms(price=28000, agentFee=0))
Flat(id=228522593, fullUrl=https://www.cian.ru/rent/flat/228522593/, totalArea=14.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.653726, lng=37.529834)), bargainTerms=Flat.BargainTerms(price=33000, agentFee=0))
Flat(id=228621136, fullUrl=https://www.cian.ru/rent/flat/228621136/, totalArea=20.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.653726, lng=37.529834)), bargainTerms=Flat.BargainTerms(price=33000, agentFee=0))
Flat(id=228457451, fullUrl=https://www.cian.ru/rent/flat/228457451/, totalArea=24.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.55777, lng=37.555023)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=0))
Flat(id=227897038, fullUrl=https://www.cian.ru/rent/flat/227897038/, totalArea=30.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.788469, lng=37.557565)), bargainTerms=Flat.BargainTerms(price=50000, agentFee=50))
Flat(id=228356281, fullUrl=https://www.cian.ru/rent/flat/228356281/, totalArea=30.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.689811, lng=37.657224)), bargainTerms=Flat.BargainTerms(price=50000, agentFee=50))
Flat(id=228465863, fullUrl=https://www.cian.ru/rent/flat/228465863/, totalArea=58.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.703773, lng=37.640066)), bargainTerms=Flat.BargainTerms(price=50000, agentFee=0))
Flat(id=228607010, fullUrl=https://www.cian.ru/rent/flat/228607010/, totalArea=30.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.753686, lng=37.513143)), bargainTerms=Flat.BargainTerms(price=50000, agentFee=50))
Flat(id=225997511, fullUrl=https://www.cian.ru/rent/flat/225997511/, totalArea=34.1, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.722644, lng=37.646022)), bargainTerms=Flat.BargainTerms(price=55000, agentFee=0))
Flat(id=191164699, fullUrl=https://www.cian.ru/rent/flat/191164699/, totalArea=54.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.767661, lng=37.648187)), bargainTerms=Flat.BargainTerms(price=120000, agentFee=0))
